""
"TEC System Name:","143-AC-5101","","Descriptor:","1ST FLR IDF RM"
"","143-AC-5101:ADDRESS","","","30",""," -N-     NONE"
"  2","143-AC-5101:APPLICATION","","","2090.0",""," *F*     NONE"
"  4","143-AC-5101:ROOM TEMP","","","70.5","DEG F"," *F*     NONE"
"  5","143-AC-5101:HEAT.COOL","","","HEAT",""," *F*     NONE"
"  6","143-AC-5101:DAY CLG STPT","","","74.0","DEG F"," *F*     NONE"
"  7","143-AC-5101:DAY HTG STPT","","","65.0","DEG F"," *F*     NONE"
"  8","143-AC-5101:NGT CLG STPT","","","82.0","DEG F"," *F*     NONE"
"  9","143-AC-5101:NGT HTG STPT","","","65.0","DEG F"," *F*     NONE"
" 11","143-AC-5101:RM STPT MIN","","","55.0","DEG F"," *F*     NONE"
" 12","143-AC-5101:RM STPT MAX","","","90.0","DEG F"," *F*     NONE"
" 13","143-AC-5101:RM STPT DIAL","","","74.0","DEG F"," *F*     NONE"
" 14","143-AC-5101:STPT DIAL","","","NO",""," *F*     NONE"
" 15","143-AC-5101:AUX TEMP","","","74.0","DEG F"," *F*     NONE"
" 18","143-AC-5101:WALL SWITCH","","","NO",""," *F*     NONE"
" 19","143-AC-5101:DI OVRD SW","","","OFF",""," *F*     NONE"
" 20","143-AC-5101:OVRD TIME","","","0.0","HRS"," *F*     NONE"
" 21","143-AC-5101:NGT OVRD","","","NIGHT",""," *F*     NONE"
" 24","143-AC-5101:DI 2","","","OFF",""," *F*     NONE"
" 25","143-AC-5101:DI 3","","","OFF",""," *F*     NONE"
" 29","143-AC-5101:DAY.NGT","","","DAY",""," *F*     NONE"
" 41","143-AC-5101:CLG STG 1","","","OFF",""," *F*     NONE"
" 42","143-AC-5101:CLG STG 2","","","OFF",""," *F*     NONE"
" 43","143-AC-5101:DO 3","","","OFF",""," *F*     NONE"
" 44","143-AC-5101:DO 4","","","OFF",""," *F*     NONE"
" 45","143-AC-5101:DO 5","","","OFF",""," *F*     NONE"
" 46","143-AC-5101:FAN","","","OFF",""," *F*     NONE"
" 52","143-AC-5101:VLV COMD","","","0.0","PCT"," *F*     NONE"
" 53","143-AC-5101:VLV POS","","","0.0","PCT"," *F*     NONE"
" 55","143-AC-5101:MTR 2 TIMING","","","130.0","SEC"," *F*     NONE"
" 57","143-AC-5101:MTR2 ROT ANG","","","90.0",""," *F*     NONE"
" 58","143-AC-5101:MTR SETUP","","","0.0",""," *F*     NONE"
" 59","143-AC-5101:DO DIR. REV","","","0.0",""," *F*     NONE"
" 60","143-AC-5101:CYCLE FAN","","","NO",""," *F*     NONE"
" 63","143-AC-5101:CLG P GAIN","","","20.0",""," *F*     NONE"
" 64","143-AC-5101:CLG I GAIN","","","0.01",""," *F*     NONE"
" 65","143-AC-5101:CLG D GAIN","","","0.0",""," *F*     NONE"
" 66","143-AC-5101:CLG BIAS","","","0.0","PCT"," *F*     NONE"
" 67","143-AC-5101:HTG P GAIN","","","10.0",""," *F*     NONE"
" 68","143-AC-5101:HTG I GAIN","","","0.01",""," *F*     NONE"
" 69","143-AC-5101:HTG D GAIN","","","0.0",""," *F*     NONE"
" 70","143-AC-5101:HTG BIAS","","","0.0","PCT"," *F*     NONE"
" 71","143-AC-5101:CLG 1 ON","","","40.0","PCT"," *F*     NONE"
" 72","143-AC-5101:CLG 1 OFF","","","20.0","PCT"," *F*     NONE"
" 73","143-AC-5101:CLG 2 ON","","","80.0","PCT"," *F*     NONE"
" 74","143-AC-5101:CLG 2 OFF","","","60.0","PCT"," *F*     NONE"
" 75","143-AC-5101:CLG STG CNT","","","2.0",""," *F*     NONE"
" 76","143-AC-5101:CLG MIN ON","","","120.0","SEC"," *F*     NONE"
" 77","143-AC-5101:CLG MIN OFF","","","120.0","SEC"," *F*     NONE"
" 78","143-AC-5101:CTL TEMP","","","74.0","DEG F"," *F*     NONE"
" 79","143-AC-5101:CLG LOOPOUT","","","0.0","PCT"," *F*     OVRD"
" 80","143-AC-5101:HTG LOOPOUT","","","0.0","PCT"," *F*     NONE"
" 84","143-AC-5101:STAGE FAN","","","10.0","PCT"," *F*     NONE"
" 85","143-AC-5101:SWITCH LIMIT","","","5.2","PCT"," *F*     NONE"
" 86","143-AC-5101:SWITCH TIME","","","10.0","MIN"," *F*     NONE"
" 90","143-AC-5101:SWITCH DBAND","","","1.0","DEG F"," *F*     NONE"
" 92","143-AC-5101:CTL STPT","","","65.0","DEG F"," *F*     NONE"
" 96","143-AC-5101:CAL TIMER","","","12.0","HRS"," *F*     NONE"
" 98","143-AC-5101:LOOP TIME","","","5.0","SEC"," *F*     NONE"
" 99","143-AC-5101:ERROR STATUS","","","0.0",""," *F*     NONE"
""
"TEC System Name:","143-AC-5102","","Descriptor:",""
"","143-AC-5102:ADDRESS","","","20",""," -N-     NONE"
"  2","143-AC-5102:APPLICATION","","","2053.0",""," -N-     NONE"
"  4","143-AC-5102:ROOM TEMP","","","65.0","DEG F"," -N-     NONE"
"  5","143-AC-5102:HEAT.COOL","","","HEAT",""," -N-     NONE"
"  6","143-AC-5102:DAY CLG STPT","","","72.0","DEG F"," -N-     NONE"
"  7","143-AC-5102:DAY HTG STPT","","","60.0","DEG F"," -N-     NONE"
"  8","143-AC-5102:NGT CLG STPT","","","82.0","DEG F"," -N-     NONE"
"  9","143-AC-5102:NGT HTG STPT","","","60.0","DEG F"," -N-     NONE"
" 11","143-AC-5102:RM STPT MIN","","","55.0","DEG F"," -N-     NONE"
" 12","143-AC-5102:RM STPT MAX","","","90.0","DEG F"," -N-     NONE"
" 13","143-AC-5102:RM STPT DIAL","","","76.25","DEG F"," -N-     NONE"
" 14","143-AC-5102:STPT DIAL","","","NO",""," -N-     NONE"
" 15","143-AC-5102:AUX TEMP","","","74.0","DEG F"," *F*     NONE"
" 18","143-AC-5102:WALL SWITCH","","","NO",""," -N-     NONE"
" 19","143-AC-5102:DI OVRD SW","","","OFF",""," -N-     NONE"
" 20","143-AC-5102:OVRD TIME","","","0.0","HRS"," -N-     NONE"
" 21","143-AC-5102:NGT OVRD","","","NIGHT",""," -N-     NONE"
" 24","143-AC-5102:DI 2","","","OFF",""," -N-     NONE"
" 25","143-AC-5102:DI 3","","","OFF",""," -N-     NONE"
" 29","143-AC-5102:DAY.NGT","","","DAY",""," -N-     NONE"
" 41","143-AC-5102:CLG STG 1","","","OFF",""," -N-     NONE"
" 42","143-AC-5102:CLG STG 2","","","OFF",""," -N-     NONE"
" 43","143-AC-5102:DO 3","","","OFF",""," -N-     NONE"
" 44","143-AC-5102:DO 4","","","OFF",""," -N-     NONE"
" 45","143-AC-5102:DO 5","","","OFF",""," -N-     NONE"
" 46","143-AC-5102:FAN","","","OFF",""," -N-     NONE"
