143-AC-5101,This device is in slave mode
143-AC-5101,NOT COMMUNICATING - 143-AC-5101 controller may be broken
143-AC-5102,"Temperature Control Failure, CTL TEMP is currently -5.0 degrees from CTL STPT"
143-AC-5102,CLG LOOPOUT Not in Automatic - Automatic operation of this point is essential for proper operation
143-AC-5103,CLG LOOPOUT Not in Automatic - Automatic operation of this point is essential for proper operation
143-AT-431013,Slipped Damper - Airflow less than than 150 cfm across fully open damper
143-AT-431025,Potential Starved Zone - Damper 100.0% open with 2900.0 cfm of airflow
143-AT-431028,Potential Starved Zone - Damper 100.0% open with 676.0 cfm of airflow
143-AT-431030,Potential Starved Zone - Damper 100.0% open with 2604.0 cfm of airflow
143-AT-431030,"Flow Control Failure, Flow is currently 27.25 % from Flow Setpoint"
143-AT-431035,The ROOM TEMP sensor is Failed
143-AT-431044,The ROOM TEMP sensor is Failed
143-AT-431050,The ROOM TEMP sensor is Failed
143-AT-431052,The ROOM TEMP sensor is Failed
143-AT-431052,Slipped Damper - Airflow less than than 150 cfm across fully open damper
143-AT-431054,Potential Starved Zone - Damper 100.0% open with 3064.0 cfm of airflow
143-AT-431054,CTL STPT Not in Automatic - Automatic operation of this point is essential for proper operation
143-AT-431058,Potential Starved Zone - Damper 100.0% open with 2804.0 cfm of airflow
143-AT-431058,CTL STPT Not in Automatic - Automatic operation of this point is essential for proper operation
143-AT-431071,Potential Starved Zone - Damper 94.0% open with 684.0 cfm of airflow
143-AT-431080,Potential Starved Zone - Damper 86.4% open with 3020.0 cfm of airflow
143-AT-431110.01,Potential Starved Zone - Damper 100.0% open with 2000.0 cfm of airflow
143-AT-431110.02,Potential Starved Zone - Damper 100.0% open with 2364.0 cfm of airflow
143-AT-431115,Potential Starved Zone - Damper 89.2% open with 2292.0 cfm of airflow
143-AT-431123,Slipped Damper - Airflow less than than 150 cfm across fully open damper
143-AT-431132,Potential Starved Zone - Damper 90.4% open with 884.0 cfm of airflow
143-AT-431138,Potential Starved Zone - Damper 100.0% open with 620.0 cfm of airflow
143-AT-431138,Potential Starved Zone - Damper 100.0% open with 564.0 cfm of airflow
143-AT-431140,Potential Starved Zone - Damper 100.0% open with 2264.0 cfm of airflow
143-AT-431145,TEMP LOOPOUT Not in Automatic - Automatic operation of this point is essential for proper operation
143-AT-431201,Potential Starved Zone - Damper 100.0% open with 400.0 cfm of airflow
143-AT-432007,Slipped Damper - Airflow less than than 150 cfm across fully open damper
143-AT-432011,The ROOM TEMP sensor is Failed
143-AT-432015,Potential Starved Zone - Damper 94.0% open with 924.0 cfm of airflow
143-AT-432020.02,Potential Starved Zone - Damper 90.4% open with 492.0 cfm of airflow
143-AT-432043,Potential Starved Zone - Damper 94.8% open with 2228.0 cfm of airflow
143-AT-432045,Potential Starved Zone - Damper 87.2% open with 2436.0 cfm of airflow
143-AT-432047,Potential Starved Zone - Damper 94.4% open with 604.0 cfm of airflow
143-AT-432050,The GEX AIR VOL sensor is Failed
143-AT-432052,Potential Starved Zone - Damper 86.4% open with 2740.0 cfm of airflow
143-AT-432060.01,Potential Starved Zone - Damper 97.6% open with 1492.0 cfm of airflow
143-AT-432070.01,CTL STPT Not in Automatic - Automatic operation of this point is essential for proper operation
143-AT-432070.02,CTL STPT Not in Automatic - Automatic operation of this point is essential for proper operation
143-AT-432080,Potential Starved Zone - Damper 96.0% open with 2116.0 cfm of airflow
143-AT-432085.01,Potential Starved Zone - Damper 100.0% open with 4016.0 cfm of airflow
143-AT-432085.02,Potential Starved Zone - Damper 90.4% open with 3476.0 cfm of airflow
